test name,category, real vulnerability, cwe, Benchmark version: 1.2, 2016-06-1
BenchmarkTest00051,cmdi,FALSE,78,,
BenchmarkTest00052,sqli,FALSE,89,,
BenchmarkTest00053,crypto,TRUE,327,,
BenchmarkTest00054,crypto,FALSE,327,,
BenchmarkTest00055,crypto,TRUE,327,,
BenchmarkTest00056,crypto,TRUE,327,,
BenchmarkTest00057,crypto,TRUE,327,,
BenchmarkTest00058,crypto,FALSE,327,,
BenchmarkTest00059,crypto,FALSE,327,,
BenchmarkTest00060,pathtraver,TRUE,22,,
BenchmarkTest00061,pathtraver,TRUE,22,,
BenchmarkTest00062,pathtraver,TRUE,22,,
BenchmarkTest00063,pathtraver,FALSE,22,,
BenchmarkTest00064,pathtraver,FALSE,22,,
BenchmarkTest00065,pathtraver,TRUE,22,,
BenchmarkTest00066,weakrand,TRUE,330,,
BenchmarkTest00067,weakrand,TRUE,330,,
BenchmarkTest00068,weakrand,TRUE,330,,
BenchmarkTest00069,hash,FALSE,328,,
BenchmarkTest00070,hash,TRUE,328,,
BenchmarkTest00071,hash,TRUE,328,,
BenchmarkTest00072,hash,FALSE,328,,
BenchmarkTest00073,hash,TRUE,328,,
BenchmarkTest00074,hash,TRUE,328,,
BenchmarkTest00075,hash,FALSE,328,,
BenchmarkTest00076,hash,FALSE,328,,
BenchmarkTest00077,cmdi,TRUE,78,,
BenchmarkTest00078,weakrand,TRUE,330,,
BenchmarkTest00079,weakrand,TRUE,330,,
BenchmarkTest00080,weakrand,TRUE,330,,
BenchmarkTest00081,weakrand,TRUE,330,,
BenchmarkTest00082,weakrand,TRUE,330,,
BenchmarkTest00083,weakrand,TRUE,330,,
BenchmarkTest00084,weakrand,TRUE,330,,
BenchmarkTest00085,weakrand,TRUE,330,,
BenchmarkTest00086,weakrand,TRUE,330,,
BenchmarkTest00087,securecookie,TRUE,614,,
BenchmarkTest00088,securecookie,FALSE,614,,
BenchmarkTest00089,securecookie,FALSE,614,,
BenchmarkTest00090,cmdi,FALSE,78,,
BenchmarkTest00091,cmdi,TRUE,78,,
BenchmarkTest00092,cmdi,TRUE,78,,
BenchmarkTest00093,cmdi,FALSE,78,,
BenchmarkTest00094,weakrand,FALSE,330,,
BenchmarkTest00095,weakrand,FALSE,330,,
BenchmarkTest00096,weakrand,FALSE,330,,
BenchmarkTest00097,trustbound,FALSE,501,,
BenchmarkTest00098,trustbound,TRUE,501,,
BenchmarkTest00099,trustbound,FALSE,501,,
BenchmarkTest00100,sqli,TRUE,89,,
BenchmarkTest00101,sqli,TRUE,89,,
BenchmarkTest00102,sqli,TRUE,89,,
BenchmarkTest00103,sqli,TRUE,89,,
BenchmarkTest00104,sqli,FALSE,89,,
BenchmarkTest00105,sqli,FALSE,89,,
BenchmarkTest00106,sqli,TRUE,89,,
BenchmarkTest00107,sqli,FALSE,89,,
BenchmarkTest00108,sqli,TRUE,89,,
BenchmarkTest00109,sqli,TRUE,89,,
BenchmarkTest00110,sqli,FALSE,89,,
BenchmarkTest00111,sqli,TRUE,89,,
BenchmarkTest00112,sqli,TRUE,89,,
BenchmarkTest00113,sqli,FALSE,89,,
BenchmarkTest00114,sqli,FALSE,89,,
BenchmarkTest00115,sqli,TRUE,89,,
BenchmarkTest00116,xpathi,FALSE,643,,
BenchmarkTest00117,xpathi,FALSE,643,,
BenchmarkTest00118,xpathi,FALSE,643,,
BenchmarkTest00119,crypto,TRUE,327,,
BenchmarkTest00120,crypto,TRUE,327,,
BenchmarkTest00121,crypto,FALSE,327,,
BenchmarkTest00122,crypto,FALSE,327,,
BenchmarkTest00123,crypto,TRUE,327,,
BenchmarkTest00124,crypto,TRUE,327,,
BenchmarkTest00125,crypto,TRUE,327,,
BenchmarkTest00126,crypto,FALSE,327,,
BenchmarkTest00127,crypto,FALSE,327,,
BenchmarkTest00128,crypto,FALSE,327,,
BenchmarkTest00129,crypto,FALSE,327,,
BenchmarkTest00130,crypto,FALSE,327,,
BenchmarkTest00131,pathtraver,FALSE,22,,
BenchmarkTest00132,pathtraver,FALSE,22,,
BenchmarkTest00133,pathtraver,TRUE,22,,
BenchmarkTest00134,pathtraver,FALSE,22,,
BenchmarkTest00135,pathtraver,FALSE,22,,
BenchmarkTest00136,pathtraver,FALSE,22,,
BenchmarkTest00137,pathtraver,FALSE,22,,
BenchmarkTest00138,ldapi,FALSE,90,,
BenchmarkTest00139,ldapi,FALSE,90,,
BenchmarkTest00140,weakrand,TRUE,330,,
BenchmarkTest00141,hash,TRUE,328,,
BenchmarkTest00142,hash,FALSE,328,,
BenchmarkTest00143,hash,TRUE,328,,
BenchmarkTest00144,xss,TRUE,79,,
BenchmarkTest00145,xss,TRUE,79,,
BenchmarkTest00146,xss,TRUE,79,,
BenchmarkTest00147,xss,FALSE,79,,
BenchmarkTest00148,xss,TRUE,79,,
BenchmarkTest00149,xss,TRUE,79,,
BenchmarkTest00150,xss,TRUE,79,,
BenchmarkTest00151,xss,FALSE,79,,
BenchmarkTest00152,xss,TRUE,79,,
BenchmarkTest00153,xss,TRUE,79,,
BenchmarkTest00154,xss,TRUE,79,,
BenchmarkTest00155,xss,TRUE,79,,
BenchmarkTest00156,xss,TRUE,79,,
BenchmarkTest00157,xss,TRUE,79,,
BenchmarkTest00158,cmdi,FALSE,78,,
BenchmarkTest00159,cmdi,TRUE,78,,
BenchmarkTest00160,weakrand,TRUE,330,,
BenchmarkTest00161,weakrand,TRUE,330,,
BenchmarkTest00162,weakrand,TRUE,330,,
BenchmarkTest00163,weakrand,TRUE,330,,
BenchmarkTest00164,weakrand,TRUE,330,,
BenchmarkTest00165,weakrand,TRUE,330,,
BenchmarkTest00166,weakrand,TRUE,330,,
BenchmarkTest00167,weakrand,TRUE,330,,
BenchmarkTest00168,weakrand,TRUE,330,,
BenchmarkTest00169,securecookie,TRUE,614,,
BenchmarkTest00170,securecookie,TRUE,614,,
BenchmarkTest00171,cmdi,FALSE,78,,
BenchmarkTest00172,cmdi,TRUE,78,,
BenchmarkTest00173,cmdi,TRUE,78,,
BenchmarkTest00174,cmdi,TRUE,78,,
BenchmarkTest00175,cmdi,FALSE,78,,
BenchmarkTest00176,cmdi,TRUE,78,,
BenchmarkTest00177,cmdi,FALSE,78,,
BenchmarkTest00178,weakrand,FALSE,330,,
BenchmarkTest00179,weakrand,FALSE,330,,
BenchmarkTest00180,weakrand,FALSE,330,,
BenchmarkTest00181,weakrand,FALSE,330,,
BenchmarkTest00182,weakrand,FALSE,330,,
BenchmarkTest00183,weakrand,FALSE,330,,
BenchmarkTest00184,weakrand,FALSE,330,,
BenchmarkTest00185,weakrand,FALSE,330,,
BenchmarkTest00186,weakrand,FALSE,330,,
BenchmarkTest00187,weakrand,FALSE,330,,
BenchmarkTest00188,weakrand,FALSE,330,,
BenchmarkTest00189,trustbound,FALSE,501,,
BenchmarkTest00190,sqli,FALSE,89,,
BenchmarkTest00191,sqli,FALSE,89,,
BenchmarkTest00192,sqli,TRUE,89,,
BenchmarkTest00193,sqli,TRUE,89,,
BenchmarkTest00194,sqli,TRUE,89,,
BenchmarkTest00195,sqli,TRUE,89,,
BenchmarkTest00196,sqli,TRUE,89,,
BenchmarkTest00197,sqli,FALSE,89,,
BenchmarkTest00198,sqli,TRUE,89,,
BenchmarkTest00199,sqli,TRUE,89,,
BenchmarkTest00200,sqli,FALSE,89,,
BenchmarkTest00201,sqli,FALSE,89,,
BenchmarkTest00202,sqli,FALSE,89,,
BenchmarkTest00203,sqli,TRUE,89,,
BenchmarkTest00204,sqli,TRUE,89,,
BenchmarkTest00205,sqli,FALSE,89,,
BenchmarkTest00206,sqli,FALSE,89,,
BenchmarkTest00207,xpathi,TRUE,643,,
BenchmarkTest00208,crypto,TRUE,327,,
BenchmarkTest00209,crypto,FALSE,327,,
BenchmarkTest00210,crypto,TRUE,327,,
BenchmarkTest00211,crypto,FALSE,327,,
BenchmarkTest00212,crypto,FALSE,327,,
BenchmarkTest00213,crypto,FALSE,327,,
BenchmarkTest00214,crypto,FALSE,327,,
BenchmarkTest00215,pathtraver,TRUE,22,,
BenchmarkTest00216,pathtraver,TRUE,22,,
BenchmarkTest00217,pathtraver,FALSE,22,,
BenchmarkTest00218,pathtraver,TRUE,22,,
BenchmarkTest00219,pathtraver,TRUE,22,,
BenchmarkTest00220,pathtraver,FALSE,22,,
BenchmarkTest00221,pathtraver,FALSE,22,,
BenchmarkTest00222,pathtraver,TRUE,22,,
BenchmarkTest00223,hash,TRUE,328,,
BenchmarkTest00224,hash,FALSE,328,,
BenchmarkTest00225,hash,FALSE,328,,
BenchmarkTest00226,hash,TRUE,328,,
BenchmarkTest00227,hash,TRUE,328,,
BenchmarkTest00228,hash,FALSE,328,,
BenchmarkTest00229,hash,FALSE,328,,
BenchmarkTest00230,weakrand,TRUE,330,,
BenchmarkTest00231,weakrand,TRUE,330,,
BenchmarkTest00232,weakrand,TRUE,330,,
BenchmarkTest00233,weakrand,TRUE,330,,
BenchmarkTest00234,weakrand,TRUE,330,,
BenchmarkTest00235,weakrand,TRUE,330,,
BenchmarkTest00236,weakrand,TRUE,330,,
BenchmarkTest00237,weakrand,TRUE,330,,
BenchmarkTest00238,weakrand,TRUE,330,,
BenchmarkTest00239,weakrand,TRUE,330,,
BenchmarkTest00240,weakrand,TRUE,330,,
BenchmarkTest00241,securecookie,TRUE,614,,
BenchmarkTest00242,securecookie,FALSE,614,,
BenchmarkTest00243,weakrand,FALSE,330,,
BenchmarkTest00244,weakrand,FALSE,330,,
BenchmarkTest00245,weakrand,FALSE,330,,
BenchmarkTest00246,weakrand,FALSE,330,,
BenchmarkTest00247,weakrand,FALSE,330,,
BenchmarkTest00248,weakrand,FALSE,330,,
BenchmarkTest00249,weakrand,FALSE,330,,
BenchmarkTest00250,trustbound,FALSE,501,,
BenchmarkTest00251,trustbound,TRUE,501,,
BenchmarkTest00252,trustbound,FALSE,501,,
BenchmarkTest00253,trustbound,FALSE,501,,
BenchmarkTest00254,crypto,TRUE,327,,
BenchmarkTest00255,crypto,FALSE,327,,
BenchmarkTest00256,crypto,TRUE,327,,
BenchmarkTest00257,crypto,TRUE,327,,
BenchmarkTest00258,crypto,TRUE,327,,
BenchmarkTest00259,crypto,FALSE,327,,
BenchmarkTest00260,crypto,FALSE,327,,
BenchmarkTest00261,pathtraver,FALSE,22,,
BenchmarkTest00262,pathtraver,TRUE,22,,
BenchmarkTest00263,pathtraver,FALSE,22,,
BenchmarkTest00264,pathtraver,TRUE,22,,
BenchmarkTest00265,pathtraver,FALSE,22,,
BenchmarkTest00266,hash,TRUE,328,,
BenchmarkTest00267,hash,TRUE,328,,
BenchmarkTest00268,hash,TRUE,328,,
BenchmarkTest00269,hash,TRUE,328,,
BenchmarkTest00270,hash,FALSE,328,,
BenchmarkTest00271,hash,FALSE,328,,
BenchmarkTest00272,hash,TRUE,328,,
BenchmarkTest00273,hash,TRUE,328,,
BenchmarkTest00274,hash,TRUE,328,,
BenchmarkTest00275,xss,FALSE,79,,
BenchmarkTest00276,xss,TRUE,79,,
BenchmarkTest00277,xss,FALSE,79,,
BenchmarkTest00278,xss,FALSE,79,,
BenchmarkTest00279,xss,TRUE,79,,
BenchmarkTest00280,xss,TRUE,79,,
BenchmarkTest00281,xss,FALSE,79,,
BenchmarkTest00282,xss,FALSE,79,,
BenchmarkTest00283,xss,FALSE,79,,
BenchmarkTest00284,xss,TRUE,79,,
BenchmarkTest00285,xss,FALSE,79,,
BenchmarkTest00286,xss,FALSE,79,,
BenchmarkTest00287,xss,TRUE,79,,
BenchmarkTest00288,xss,FALSE,79,,
BenchmarkTest00289,xss,FALSE,79,,
BenchmarkTest00290,xss,TRUE,79,,
BenchmarkTest00291,xss,TRUE,79,,
BenchmarkTest00292,xss,TRUE,79,,
BenchmarkTest00293,cmdi,TRUE,78,,
BenchmarkTest00294,cmdi,TRUE,78,,
BenchmarkTest00295,cmdi,TRUE,78,,
BenchmarkTest00296,weakrand,TRUE,330,,
BenchmarkTest00297,weakrand,TRUE,330,,
BenchmarkTest00298,weakrand,TRUE,330,,
BenchmarkTest00299,weakrand,TRUE,330,,
BenchmarkTest00300,securecookie,TRUE,614,,
BenchmarkTest00301,xss,TRUE,79,,
BenchmarkTest00302,cmdi,TRUE,78,,
BenchmarkTest00303,cmdi,TRUE,78,,
BenchmarkTest00304,cmdi,TRUE,78,,
BenchmarkTest00305,cmdi,FALSE,78,,
BenchmarkTest00306,cmdi,TRUE,78,,
BenchmarkTest00307,cmdi,FALSE,78,,
BenchmarkTest00308,cmdi,FALSE,78,,
BenchmarkTest00309,cmdi,FALSE,78,,
BenchmarkTest00310,cmdi,FALSE,78,,
BenchmarkTest00311,cmdi,TRUE,78,,
BenchmarkTest00312,weakrand,FALSE,330,,
BenchmarkTest00313,weakrand,FALSE,330,,
BenchmarkTest00314,weakrand,FALSE,330,,
BenchmarkTest00315,weakrand,FALSE,330,,
BenchmarkTest00316,weakrand,FALSE,330,,
BenchmarkTest00317,weakrand,FALSE,330,,
BenchmarkTest00318,weakrand,FALSE,330,,
BenchmarkTest00319,weakrand,FALSE,330,,
BenchmarkTest00320,weakrand,FALSE,330,,
BenchmarkTest00321,trustbound,TRUE,501,,
BenchmarkTest00322,trustbound,FALSE,501,,
BenchmarkTest00323,trustbound,FALSE,501,,
BenchmarkTest00324,trustbound,TRUE,501,,
BenchmarkTest00325,trustbound,TRUE,501,,
BenchmarkTest00326,trustbound,TRUE,501,,
BenchmarkTest00327,trustbound,TRUE,501,,
BenchmarkTest00328,sqli,TRUE,89,,
BenchmarkTest00329,sqli,FALSE,89,,
BenchmarkTest00330,sqli,FALSE,89,,
BenchmarkTest00331,sqli,FALSE,89,,
BenchmarkTest00332,sqli,FALSE,89,,
BenchmarkTest00333,sqli,FALSE,89,,
BenchmarkTest00334,sqli,FALSE,89,,
BenchmarkTest00335,sqli,TRUE,89,,
BenchmarkTest00336,sqli,FALSE,89,,
BenchmarkTest00337,sqli,TRUE,89,,
BenchmarkTest00338,sqli,FALSE,89,,
BenchmarkTest00339,sqli,TRUE,89,,
BenchmarkTest00340,sqli,FALSE,89,,
BenchmarkTest00341,sqli,TRUE,89,,
BenchmarkTest00342,sqli,TRUE,89,,
BenchmarkTest00343,sqli,FALSE,89,,
BenchmarkTest00344,sqli,FALSE,89,,
BenchmarkTest00345,crypto,FALSE,327,,
BenchmarkTest00346,hash,TRUE,328,,
BenchmarkTest00347,weakrand,TRUE,330,,
BenchmarkTest00348,securecookie,TRUE,614,,
BenchmarkTest00349,weakrand,FALSE,330,,
BenchmarkTest00350,crypto,FALSE,327,,
BenchmarkTest00351,crypto,FALSE,327,,
BenchmarkTest00352,crypto,FALSE,327,,
BenchmarkTest00353,crypto,FALSE,327,,
BenchmarkTest00354,crypto,TRUE,327,,
BenchmarkTest00355,crypto,TRUE,327,,
BenchmarkTest00356,crypto,TRUE,327,,
BenchmarkTest00357,crypto,FALSE,327,,
BenchmarkTest00358,crypto,FALSE,327,,
BenchmarkTest00359,pathtraver,TRUE,22,,
BenchmarkTest00360,pathtraver,TRUE,22,,
BenchmarkTest00361,pathtraver,FALSE,22,,
BenchmarkTest00362,pathtraver,TRUE,22,,
BenchmarkTest00363,pathtraver,TRUE,22,,
BenchmarkTest00364,pathtraver,FALSE,22,,
BenchmarkTest00365,pathtraver,FALSE,22,,
BenchmarkTest00366,pathtraver,FALSE,22,,
BenchmarkTest00367,ldapi,FALSE,90,,
BenchmarkTest00368,weakrand,TRUE,330,,
BenchmarkTest00369,weakrand,TRUE,330,,
BenchmarkTest00370,hash,FALSE,328,,
BenchmarkTest00371,hash,TRUE,328,,
BenchmarkTest00372,hash,TRUE,328,,
BenchmarkTest00373,hash,FALSE,328,,
BenchmarkTest00374,hash,TRUE,328,,
BenchmarkTest00375,xss,TRUE,79,,
BenchmarkTest00376,xss,TRUE,79,,
BenchmarkTest00377,xss,FALSE,79,,
BenchmarkTest00378,xss,TRUE,79,,
BenchmarkTest00379,xss,FALSE,79,,
BenchmarkTest00380,xss,TRUE,79,,
BenchmarkTest00381,xss,FALSE,79,,
BenchmarkTest00382,xss,TRUE,79,,
BenchmarkTest00383,xss,TRUE,79,,
BenchmarkTest00384,xss,TRUE,79,,
BenchmarkTest00385,xss,TRUE,79,,
BenchmarkTest00386,xss,FALSE,79,,
BenchmarkTest00387,xss,TRUE,79,,
BenchmarkTest00388,xss,TRUE,79,,
BenchmarkTest00389,xss,FALSE,79,,
BenchmarkTest00390,xss,TRUE,79,,
BenchmarkTest00391,xss,FALSE,79,,
BenchmarkTest00392,xss,TRUE,79,,
BenchmarkTest00393,xss,FALSE,79,,
BenchmarkTest00394,xss,FALSE,79,,
BenchmarkTest00395,xss,TRUE,79,,
BenchmarkTest00396,cmdi,FALSE,78,,
BenchmarkTest00397,weakrand,TRUE,330,,
BenchmarkTest00398,weakrand,TRUE,330,,
BenchmarkTest00399,weakrand,TRUE,330,,
BenchmarkTest00400,weakrand,TRUE,330,,
BenchmarkTest00401,weakrand,TRUE,330,,
BenchmarkTest00402,weakrand,TRUE,330,,
BenchmarkTest00403,securecookie,TRUE,614,,
BenchmarkTest00404,securecookie,FALSE,614,,
BenchmarkTest00405,securecookie,FALSE,614,,
BenchmarkTest00406,cmdi,FALSE,78,,
BenchmarkTest00407,cmdi,TRUE,78,,
BenchmarkTest00408,cmdi,FALSE,78,,
BenchmarkTest00409,cmdi,TRUE,78,,
BenchmarkTest00410,cmdi,FALSE,78,,
BenchmarkTest00411,cmdi,FALSE,78,,
BenchmarkTest00412,cmdi,FALSE,78,,
BenchmarkTest00413,weakrand,FALSE,330,,
BenchmarkTest00414,weakrand,FALSE,330,,
BenchmarkTest00415,weakrand,FALSE,330,,
BenchmarkTest00416,weakrand,FALSE,330,,
BenchmarkTest00417,weakrand,FALSE,330,,
BenchmarkTest00418,weakrand,FALSE,330,,
BenchmarkTest00419,weakrand,FALSE,330,,
BenchmarkTest00420,weakrand,FALSE,330,,
BenchmarkTest00421,weakrand,FALSE,330,,
BenchmarkTest00422,weakrand,FALSE,330,,
BenchmarkTest00423,weakrand,FALSE,330,,
BenchmarkTest00424,trustbound,TRUE,501,,
BenchmarkTest00425,trustbound,TRUE,501,,
BenchmarkTest00426,trustbound,TRUE,501,,
BenchmarkTest00427,trustbound,TRUE,501,,
BenchmarkTest00428,sqli,TRUE,89,,
BenchmarkTest00429,sqli,TRUE,89,,
BenchmarkTest00430,sqli,FALSE,89,,
BenchmarkTest00431,sqli,TRUE,89,,
BenchmarkTest00432,sqli,FALSE,89,,
BenchmarkTest00433,sqli,TRUE,89,,
BenchmarkTest00434,sqli,TRUE,89,,
BenchmarkTest00435,sqli,TRUE,89,,
BenchmarkTest00436,sqli,FALSE,89,,
BenchmarkTest00437,sqli,FALSE,89,,
BenchmarkTest00438,sqli,TRUE,89,,
BenchmarkTest00439,sqli,TRUE,89,,
BenchmarkTest00440,sqli,FALSE,89,,
BenchmarkTest00441,sqli,TRUE,89,,
BenchmarkTest00442,xpathi,TRUE,643,,
BenchmarkTest00443,crypto,FALSE,327,,
BenchmarkTest00444,crypto,FALSE,327,,
BenchmarkTest00445,crypto,TRUE,327,,
BenchmarkTest00446,crypto,TRUE,327,,
BenchmarkTest00447,crypto,FALSE,327,,
BenchmarkTest00448,crypto,TRUE,327,,
BenchmarkTest00449,crypto,TRUE,327,,
BenchmarkTest00450,crypto,FALSE,327,,
BenchmarkTest00451,crypto,FALSE,327,,
BenchmarkTest00452,pathtraver,TRUE,22,,
BenchmarkTest00453,pathtraver,TRUE,22,,
BenchmarkTest00454,pathtraver,FALSE,22,,
BenchmarkTest00455,pathtraver,TRUE,22,,
BenchmarkTest00456,pathtraver,TRUE,22,,
BenchmarkTest00457,pathtraver,TRUE,22,,
BenchmarkTest00458,pathtraver,FALSE,22,,
BenchmarkTest00459,pathtraver,TRUE,22,,
BenchmarkTest00460,pathtraver,FALSE,22,,
BenchmarkTest00461,weakrand,TRUE,330,,
BenchmarkTest00462,hash,TRUE,328,,
BenchmarkTest00463,hash,FALSE,328,,
BenchmarkTest00464,hash,TRUE,328,,
BenchmarkTest00465,hash,TRUE,328,,
BenchmarkTest00466,hash,FALSE,328,,
BenchmarkTest00467,xss,TRUE,79,,
BenchmarkTest00468,xss,FALSE,79,,
BenchmarkTest00469,xss,FALSE,79,,
BenchmarkTest00470,xss,FALSE,79,,
BenchmarkTest00471,xss,FALSE,79,,
BenchmarkTest00472,xss,TRUE,79,,
BenchmarkTest00473,xss,TRUE,79,,
BenchmarkTest00474,xss,FALSE,79,,
BenchmarkTest00475,xss,TRUE,79,,
BenchmarkTest00476,xss,FALSE,79,,
BenchmarkTest00477,xss,TRUE,79,,
BenchmarkTest00478,xss,TRUE,79,,
BenchmarkTest00479,xss,FALSE,79,,
BenchmarkTest00480,cmdi,TRUE,78,,
BenchmarkTest00481,cmdi,FALSE,78,,
BenchmarkTest00482,weakrand,TRUE,330,,
BenchmarkTest00483,weakrand,TRUE,330,,
BenchmarkTest00484,weakrand,TRUE,330,,
BenchmarkTest00485,weakrand,TRUE,330,,
BenchmarkTest00486,weakrand,TRUE,330,,
BenchmarkTest00487,weakrand,TRUE,330,,
BenchmarkTest00488,weakrand,TRUE,330,,
BenchmarkTest00489,weakrand,TRUE,330,,
BenchmarkTest00490,weakrand,TRUE,330,,
BenchmarkTest00491,securecookie,TRUE,614,,
BenchmarkTest00492,xss,TRUE,79,,
BenchmarkTest00493,xss,FALSE,79,,
BenchmarkTest00494,cmdi,FALSE,78,,
BenchmarkTest00495,cmdi,TRUE,78,,
BenchmarkTest00496,cmdi,TRUE,78,,
BenchmarkTest00497,cmdi,TRUE,78,,
BenchmarkTest00498,cmdi,TRUE,78,,
BenchmarkTest00499,cmdi,TRUE,78,,
BenchmarkTest00500,cmdi,TRUE,78,,
BenchmarkTest00501,weakrand,FALSE,330,,
BenchmarkTest00502,weakrand,FALSE,330,,
BenchmarkTest00503,weakrand,FALSE,330,,
BenchmarkTest00504,weakrand,FALSE,330,,
BenchmarkTest00505,weakrand,FALSE,330,,
BenchmarkTest00506,weakrand,FALSE,330,,
BenchmarkTest00507,weakrand,FALSE,330,,
BenchmarkTest00508,trustbound,TRUE,501,,
BenchmarkTest00509,sqli,FALSE,89,,
BenchmarkTest00510,sqli,TRUE,89,,
BenchmarkTest00511,sqli,FALSE,89,,
BenchmarkTest00512,sqli,TRUE,89,,
BenchmarkTest00513,sqli,FALSE,89,,
BenchmarkTest00514,sqli,FALSE,89,,
BenchmarkTest00515,sqli,TRUE,89,,
BenchmarkTest00516,sqli,TRUE,89,,
BenchmarkTest00517,sqli,FALSE,89,,
BenchmarkTest00518,sqli,TRUE,89,,
BenchmarkTest00519,sqli,FALSE,89,,
BenchmarkTest00520,xpathi,FALSE,643,,
BenchmarkTest00521,crypto,TRUE,327,,
BenchmarkTest00522,crypto,TRUE,327,,
BenchmarkTest00523,crypto,FALSE,327,,
BenchmarkTest00524,crypto,FALSE,327,,
BenchmarkTest00525,pathtraver,TRUE,22,,
BenchmarkTest00526,pathtraver,TRUE,22,,
BenchmarkTest00527,pathtraver,TRUE,22,,
BenchmarkTest00528,pathtraver,TRUE,22,,
BenchmarkTest00529,pathtraver,TRUE,22,,
BenchmarkTest00530,ldapi,FALSE,90,,
BenchmarkTest00531,hash,TRUE,328,,
BenchmarkTest00532,hash,TRUE,328,,
BenchmarkTest00533,hash,TRUE,328,,
BenchmarkTest00534,hash,TRUE,328,,
BenchmarkTest00535,hash,FALSE,328,,
BenchmarkTest00536,hash,TRUE,328,,
BenchmarkTest00537,hash,TRUE,328,,
BenchmarkTest00538,hash,FALSE,328,,
BenchmarkTest00539,hash,FALSE,328,,
BenchmarkTest00540,hash,FALSE,328,,
BenchmarkTest00541,xss,TRUE,79,,
BenchmarkTest00542,xss,TRUE,79,,
BenchmarkTest00543,xss,TRUE,79,,
BenchmarkTest00544,xss,FALSE,79,,
BenchmarkTest00545,xss,FALSE,79,,
BenchmarkTest00546,xss,FALSE,79,,
BenchmarkTest00547,xss,TRUE,79,,
BenchmarkTest00548,xss,FALSE,79,,
BenchmarkTest00549,xss,TRUE,79,,
BenchmarkTest00550,xss,FALSE,79,,
BenchmarkTest00551,xss,TRUE,79,,
BenchmarkTest00552,xss,TRUE,79,,
BenchmarkTest00553,xss,FALSE,79,,
BenchmarkTest00554,xss,TRUE,79,,
BenchmarkTest00555,xss,TRUE,79,,
BenchmarkTest00556,xss,FALSE,79,,
BenchmarkTest00557,xss,TRUE,79,,
BenchmarkTest00558,cmdi,FALSE,78,,
BenchmarkTest00559,cmdi,FALSE,78,,
BenchmarkTest00560,weakrand,TRUE,330,,
BenchmarkTest00561,weakrand,TRUE,330,,
BenchmarkTest00562,weakrand,TRUE,330,,
BenchmarkTest00563,weakrand,TRUE,330,,
BenchmarkTest00564,weakrand,TRUE,330,,
BenchmarkTest00565,securecookie,TRUE,614,,
BenchmarkTest00566,securecookie,TRUE,614,,
BenchmarkTest00567,cmdi,TRUE,78,,
BenchmarkTest00568,cmdi,TRUE,78,,
BenchmarkTest00569,cmdi,FALSE,78,,
BenchmarkTest00570,cmdi,FALSE,78,,
BenchmarkTest00571,cmdi,FALSE,78,,
BenchmarkTest00572,cmdi,FALSE,78,,
